sourcedb|sourcedb_version|method|labnr|c14age|c14std|c13val|site|sitetype|feature|period|culture|material|species|country|lat|lon|shortref|comment
Kotula/Piezonka/Terberger 2015|2015|C14|UtC-8110|5138|43||Parow 4|||Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|
Kotula/Piezonka/Terberger 2015|2015|C14|UtC-8111|5088|47||Parow 4|||Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|
Kabacinski/Terberger 2010|2010|C14|KIA-17501|6164|42||Prenzlau|||Neolithikum|LBK|Holzkohle||Germany|||Weishaupt 2002|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|Poz-10434|5160|40||Dąbki 9|||Mesolithikum|final Mesolithic|Geweih||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|Poz-10436|5900|40||Dąbki 9|||Mesolithikum|final Mesolithic|Speisekruste||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|Poz-10437|6140|40||Dąbki 9|||Mesolithikum|final Mesolithic|Holz||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|Poz-10438|5750|40||Dąbki 9|||Mesolithikum|final Mesolithic|Speisekruste||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|Poz-10439|5720|40||Dąbki 9|||Mesolithikum|final Mesolithic|Speisekruste||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-10330|4787|33||Dąbki 9|||Mesolithikum|final Mesolithic|Knochen||Poland|||Benecke 1999|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-10331|5999|34||Dąbki 9|||Mesolithikum|final Mesolithic|Knochen||Poland|||Benecke 1999|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-10332|5632|34||Dąbki 9|||Mesolithikum|final Mesolithic|Knochen||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-26385|5831|28||Dąbki 9|||Mesolithikum|final Mesolithic|Speisekruste||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-26384|5477|28||Dąbki 9|||Mesolithikum|final Mesolithic|Speisekruste||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-26386|5880|37||Dąbki 9|||Mesolithikum|final Mesolithic|Speisekruste||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-26387|5339|29||Dąbki 9|||Mesolithikum|final Mesolithic|Zahn||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-26388|5960|32||Dąbki 9|||Mesolithikum|final Mesolithic|Knochen||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
