"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"ertrag_bez";"ertrag_kur";"NAME_HAUPT";"NAME_UNTER";"X";"Y"
"610";NA;"Dahme-Spreewald";"Teurow";NA;NA;"5771346";"412630";NA;NA;"326";"Mesolithikum";10342;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Teurow - 1";"nein";"Mesol.: ein Kernbeil; Gramsch 1973";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (412630 5771346)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Zossen-Teupitzer Platten- und Hügelland";412630;5771346
"611";NA;"Elbe-Elster";"Schmielsdorf";NA;NA;"5743569";"377046";NA;NA;"327";"Mesolithikum";8443;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Schmielsdorf - 1";"nein";"Walzenbeil; Cottbus";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (377046 5743569)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend <30";"n";"FLÄMING";"Südliches Fläminghügelland";377046;5743569
"612";NA;"Elbe-Elster";"Elsterwerda";NA;NA;"5702810";"398452";NA;NA;"328";"Mesolithikum";11001;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Elsterwerda - 28";"nein";"EE-M: ein Kratzer (sieht eher aus wie ein Trapezbruchstück)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (398452 5702810)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"ELBE-MULDE-TIEFLAND";"Elbe-Elster Tiefland";398452;5702810
"613";NA;"Elbe-Elster";"Buchhain";NA;NA;"5724082";"388660";NA;NA;"329";"Mesolithikum";29813;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Buchhain - 7";"nein";"Fraglicher Schaber (sieht eher wie ein Abschlag oder nat. Stück aus)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (388660 5724082)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"LAUSITZER BECKEN UND HEIDELAND";"Niederlausitzer Randhügel";388660;5724082
"614";NA;"Havelland";"Hertefeld";NA;NA;"5835674";"355585";NA;NA;"332";"Mesolithikum";12579;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Hertefeld - 1";"nein";"Einzelfund, S: ein Feuersteinpickel (?), nach Neumann Datierung Mesolithikum übernommen. Ist zuüberprüfen!";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (355585 5835674)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";355585;5835674
"615";NA;"Havelland";"Vietznitz";NA;NA;"5845996";"342046";NA;NA;"333";"Mesolithikum";12890;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Vietznitz - 4";"nein";"ein Walzenbeil; sN: durchbohrte Felsgetseinsaxt der Einzelgrab-K., N ""normales"" Beil";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (342046 5845996)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";342046;5845996
"616";NA;"Havelland";"Schönwalde";NA;NA;"5829647";"371054";NA;NA;"334";"Mesolithikum";12853;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Schönwalde - 30";"nein";"Kein Hinweis auf Meso";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (371054 5829647)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend <30";"n";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";371054;5829647
"617";NA;"Havelland";"Wagenitz";NA;NA;"5835364";"339971";NA;NA;"336";"Mesolithikum";12920;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Wagenitz - 6";"nein";"mesolithischer Hirschgeweih-Lochstab mit Verzierung; MUEL: überprüft Sept. 2014 - derzeit nicht denkmalwürdig.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (339971 5835364)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"LUCHLAND";"Westhavelländisches Ländchen";339971;5835364
"618";NA;"Havelland";"Friedrichsbruch";NA;NA;"5853309";"324126";NA;NA;"337";"Mesolithikum";19409;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Friedrichsbruch - 3";"nein";"eine Klinge, nach Teske ""M""; INV 2002:1017";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (324126 5853309)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";324126;5853309
"619";NA;"Havelland";"Rathenow";NA;NA;"5831428";"320091";NA;NA;"338";"Mesolithikum";19784;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Rathenow - 20";"nein";"Walzenbeil, mögliw. In sekundärer Lage; Mus. Rathenow";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (320091 5831428)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend <30";"n";"ELBTALNIEDERUNG";"Untere Havelniederung";320091;5831428
"620";NA;"Havelland";"Rathenow-Neue Schleuse";NA;NA;"5832310";"318136";NA;NA;"339";"Mesolithikum";19863;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Rathenow-Neue Schleuse - 9";"nein";"ein steinerner Spinnwirtel, Datierung?? -_> vermutlich eher Scheibenkeule (meso)
eine bearbeitete Hirschgeweihsprosse, Datierung???; mus. Rathenow, verschollen?";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (318136 5832310)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"ELBTALNIEDERUNG";"Untere Havelniederung";318136;5832310
"621";NA;"Havelland";"Strodehne";NA;NA;"5847420";"312691";NA;NA;"340";"Mesolithikum";20003;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Strodehne - 1";"nein";"verzierte Geweihhacke/axt?; Wiese, Buschland; Fund Mus. Havelberg, andere Geweihfunde teilw.  in Halle Prov. Museum; Allgemeines:
Die archäologische Baubegleitung erfolgte im Rahmen der Gaserschließung der EON - E.dis AG, RZ Rathenow; hier in der Über";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (312691 5847420)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend >50";"r";"ELBTALNIEDERUNG";"Untere Havelniederung";312691;5847420
"622";NA;"Havelland";"Schönwalde";NA;NA;"5830105";"373301";NA;NA;"341";"Mesolithikum";12832;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Schönwalde - 9";"nein";"5830932-5831030, 4576542-4576570; Franke und Gustavs, VMP 1983, 83ff; Dreiplattennadel (Stufe Ib), Zungengürtelhaken schmal und lang; EE-M: eine vermutlich mesolithische Kernfußklinge";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (373301 5830105)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend <30";"n";"LUCHLAND";"Zehdenick-Spandauer Havelniederung";373301;5830105
"623";NA;"Havelland";"Buckow";NA;NA;"5830026";"315309";NA;NA;"342";"Mesolithikum";24720;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Buckow - 4";"nein";"ein Mikrolith; Kleindreieck";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (315309 5830026)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend <30";"n";"ELBTALNIEDERUNG";"Land Schollene";315309;5830026
"624";NA;"Havelland";"Wansdorf";NA;NA;"5832366";"369422";NA;NA;"343";"Mesolithikum";12929;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Wansdorf - 7";"nein";"5833000-5833539, 4572570-4572680; 1 dreieckige flächenretuschierte Silexspitze mit fast halbrund ausgearbeiteter Basis; Allgemeines: 
Archäologische Prospektion der Flächen für 13 ausgewählte Maststandorte der geplanten 380 - kV -Leitung Wolmirstedt";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (369422 5832366)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";369422;5832366
"625";NA;"Havelland";"Strodehne";NA;NA;"5846527";"313960";NA;NA;"344";"Mesolithikum";20021;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Strodehne - 19";"nein";"alle Funde bei Baggerarbeiten im Gülper See - aus abgelagerten Baggergut (Seeentschlammung), 5844740-5846040, 4516400-4516880; Angelhaken aus Geweih; 5 Knochenharpunen; eine Geweihhacke mit 4eckigem Schaftloch MUFP;";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (313960 5846527)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"ELBTALNIEDERUNG";"Untere Havelniederung";313960;5846527
"626";NA;"Havelland";"Rübehorst";NA;NA;"5852953";"319708";NA;NA;"345";"Mesolithikum";19895;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Rübehorst - 1";"nein";"ein Steinbeil (Steinkeil?), eine Hirschgeweihhacke, nach Gramsch M";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (319708 5852953)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";319708;5852953
"627";NA;"Havelland";"Vietznitz";NA;NA;"5845780";"339785";NA;NA;"346";"Mesolithikum";12897;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Vietznitz - 11";"nein";"ein Walzenbeil";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (339785 5845780)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";339785;5845780
"628";NA;"Havelland";"Wustermark";NA;NA;"5823529";"361054";NA;NA;"347";"Mesolithikum";12954;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Wustermark - 2";"nein";"EE-jE: ausgebaggerte bronzene Frühlatèneschemafibel; EE-M: ein Walzenbeil
EE-mB: Spindlersfelder Fibel, Mon. III/IV
EE-sNL: flächenretuschiertes Dolchfragment; Havelkanal: Am Dyrotzer Hafen";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (361054 5823529)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Nauener Platte";361054;5823529
"629";NA;"Havelland";"Hoppenrade";NA;NA;"5821334";"360182";NA;NA;"348";"Mesolithikum";12585;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Hoppenrade - 2";"nein";"einreihig gezähnte Knochenharpune; INV 1952:6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (360182 5821334)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Nauener Platte";360182;5821334
"630";NA;"Havelland";"Rhinow";NA;NA;"5849869";"321680";NA;NA;"349";"Mesolithikum";59396;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Rhinow - 32";"nein";"INV 2018:218; bei Melioration Flußbegradigung des Bültgrabens ausgebaggert: eine kleine Geweihaxt, Holzstiel frisch abgebrochen, Datierung? kleine Geweihaxt mit frisch gebrochenem Holzstiel; Dr. Kloss hatte eine Pollenanalyse gemacht und Getreidepollen";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (321680 5849869)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";321680;5849869
"631";NA;"Märkisch-Oderland";"Münchehofe";NA;NA;"5823815";"440489";NA;NA;"350";"Mesolithikum";21600;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Münchehofe - 3";"nein";"eine mikrolithische Klinge";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (440489 5823815)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"OSTBRANDENBURGISCHE PLATTE";"Buckower Hügel und Kesselland";440489;5823815
"632";NA;"Märkisch-Oderland";"Friedersdorf";NA;NA;"5817533";"458362";NA;NA;"351";"Mesolithikum";34683;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Friedersdorf - 6";"nein";"Dreiecksmikrolith, aber auch Steinsetzungen mit UG-Keramik beobachtet; prüfen!!! INV 2005:54/55; 5819384-600, 5458368-600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (458362 5817533)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"OSTBRANDENBURGISCHE PLATTE";"Lebusplatte";458362;5817533
"633";NA;"Oberhavel";"Krewelin";NA;NA;"5867628";"393110";NA;NA;"352";"Mesolithikum";7659;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Krewelin - 2";"nein";"M: Walzenbeil";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (393110 5867628)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"LUCHLAND";"Zehdenick-Spandauer Havelniederung";393110;5867628
"634";NA;"Oberhavel";"Badingen";NA;NA;"5876106";"382519";NA;NA;"353";"Mesolithikum";7547;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Badingen - 4";"nein";"Datierung (Jungpaläolithikum oder Mesolithikum?) und genaue Fundansprache (ist es tatsächlich ein ""Kommandostab"") sind unklar, da der Verbleib des Objekts aus der ""Mittelschule"" Zehdenick unklar ist. Keine weiteren Infos";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (382519 5876106)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";"Granseer Platte";382519;5876106
"635";NA;"Oberhavel";"Zehdenick";NA;NA;"5868415";"386980";NA;NA;"354";"Mesolithikum";7770;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Zehdenick - 3";"nein";"eine Hirschgeweihstange, keine weiteren Angaben, Datierung?? 500m nordwestlich des Vorwerks";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (386980 5868415)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";"Granseer Platte";386980;5868415
"636";NA;"Oberhavel";"Sommerfeld";NA;NA;"5850964";"368551";NA;NA;"355";"Mesolithikum";14928;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Sommerfeld - 7";"nein";"Schleuener Luch; kernsteine, Abschläge, Kratzer, Steinbeil";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (368551 5850964)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"LUCHLAND";"Unteres,Oberes Rhinluch und Havelländisches Luch";368551;5850964
"637";NA;"Oberhavel";"Teschendorf";NA;NA;"5858084";"376803";NA;NA;"356";"Mesolithikum";14954;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Teschendorf - 5";"nein";"ein Kernbeil, Datierung? hinter Gehöft Dorfstraße 70; Sand; Mus. Potsdam";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (376803 5858084)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";"Rüthnicker Heide";376803;5858084
"638";NA;"Oberhavel";"Zehdenick";NA;NA;"5875837";"389652";NA;NA;"357";"Mesolithikum";33359;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Zehdenick - 33";"nein";"ein Walzenbeil. War ehemals Fpl. 8 von Zehdenick-Staatsforst.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (389652 5875837)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"LUCHLAND";"Zehdenick-Spandauer Havelniederung";389652;5875837
"639";NA;"Oberhavel";"Birkenwerder";NA;NA;"5839631";"381860";NA;NA;"358";"Mesolithikum";14655;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Birkenwerder - 14";"nein";"Langschmales Dreieck, unverz. Scherben; u.a. Nackenteil einer Felsgesteinsaxt. vgl. dazu BRA 2011:SO/20/1 (Sonderakte); Gramsch 1973";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (381860 5839631)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"LUCHLAND";"Zehdenick-Spandauer Havelniederung";381860;5839631
"640";NA;"Oberhavel";"Birkenwerder";NA;NA;"5838705";"382758";NA;NA;"359";"Mesolithikum";14648;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Birkenwerder - 7";"nein";"ein Walzenbeil";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (382758 5838705)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"LUCHLAND";"Zehdenick-Spandauer Havelniederung";382758;5838705
"641";NA;"Oberhavel";"Burgwall";NA;NA;"5878687";"386579";NA;NA;"360";"Mesolithikum";7568;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Burgwall - 1";"nein";"Walzenbeil, aber auch TBK-Beile und Beil des 4 Jts.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (386579 5878687)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";"Granseer Platte";386579;5878687
"642";NA;"Oberhavel";"Badingen";NA;NA;"5874699";"382430";NA;NA;"361";"Mesolithikum";28695;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Badingen - 7";"nein";"eine Geweihaxt, Datierung??; 100 m nordöstlich von Höhe 52,9; kreismuseum Gransee; niederung, Toniger Boden";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (382430 5874699)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"NORDBRANDENBURGISCHES PLATTEN UND HÜGELLAND";"Granseer Platte";382430;5874699
"643";NA;"Oberhavel";"Germendorf";NA;NA;"5845724";"378068";NA;NA;"362";"Mesolithikum";14698;"Brandenburg";"BLDAM / M. Ismail-Weber 2018";"Germendorf - 3";"nein";"eine durchbohrte Geweihaxt T-AXT, ein Silexbeil TBK; am Moorgraben / Muhre; Kirsch 1993";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;"Einzelfund";NA;"Einzel-/Lesefunde";0;NA;"Point (378068 5845724)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"LUCHLAND";"Zehdenick-Spandauer Havelniederung";378068;5845724
