"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"DGM";"EL.closedH";"EL.diverge";"EL.heightA";"EL.heigh_1";"EL.exposit";"EL.reliefU";"EL.relie_1";"EL.relie_2";"EL.terrain";"EL.soilMoi";"EL.slope";"Gefährdun";"Gefährd_1";"Gefährd_2";"Bodenabtra";"Bodenabt_1";"EL.Elevati";"X";"Y"
"445";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5617";"GG";2617;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2617";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";69,79;NA;-1,89454;3,18433;2,99004;333,88501;6;21;NA;0,87863;13,64032;1,23878;NA;NA;NA;NA;NA;NA;430509,67;5735647,67
"446";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5618";"GG";2618;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2618";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (440509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";64,29;NA;-3,47254;5,57832;0,14762;23,58302;6;21;NA;0,90157;13,41494;0,33129;NA;NA;NA;NA;NA;NA;440509,67;5735647,67
"447";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5619";"GG";2619;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2619";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (450509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";66,44;NA;-0,33239;0,95008;0,7353;216,45523;2;2;2;0,92655;14,49841;0,37754;NA;NA;NA;NA;NA;NA;450509,67;5735647,67
"448";NA;"Cottbus Städte";"unbek.";NA;NA;NA;NA;NA;NA;"5620";"GG";2620;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2620";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (460509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";57,39;7,64258;-0,25629;0,00035;0,00014;281,01199;5;2;2;0,8928;12,77945;2,92154;NA;NA;NA;NA;NA;NA;460509,67;5735647,67
"449";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5621";"GG";2621;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2621";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (470509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";80,15;NA;-3,24524;11,28783;7,8088;59,41361;6;23;NA;0,78131;6,1137;5,38923;NA;NA;NA;NA;NA;NA;470509,67;5735647,67
"450";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5665";"GG";2665;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2665";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (380509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";83,47;NA;1,17386;2,21856;2,16103;214,76831;2;2;2;0,88655;16,43851;3,5842;NA;NA;NA;NA;NA;NA;380509,67;5725647,67
"451";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5666";"GG";2666;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2666";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (390509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";116,19;NA;22,92051;11,38535;3,30479;311,78552;6;22;NA;0,84425;12,73808;0,31066;NA;NA;NA;NA;NA;NA;390509,67;5725647,67
"452";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5667";"GG";2667;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2667";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (400509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";96,22;NA;2,21998;0,27249;0,23621;73,72059;2;2;2;0,97225;19,59784;0,1031;0;0;1;0,71239;0,71681;NA;400509,67;5725647,67
"453";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5668";"GG";2668;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2668";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (410509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";104,27;NA;-1,39805;0,48167;0,14797;54,96164;2;2;2;0,95476;18,15187;0,4068;1;1;1;2,29654;1,90219;NA;410509,67;5725647,67
"454";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5669";"GG";2669;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2669";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";119,34;NA;6,21097;0,366;0,35369;105,21913;2;2;2;0,95078;15,95604;0,69949;NA;NA;NA;NA;NA;NA;420509,67;5725647,67
"455";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5670";"GG";2670;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2670";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";100,11;NA;4,09953;9,87212;8,64764;50,29497;6;23;NA;0,76783;5,15752;2,62204;3;3;NA;12,70266;7,18627;NA;430509,67;5725647,67
"456";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5671";"GG";2671;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2671";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (440509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";86,45;NA;-0,57496;6,32935;1,92684;15,43275;6;21;NA;0,8796;13,43303;0,81852;NA;NA;NA;NA;NA;NA;440509,67;5725647,67
"457";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5672";"GG";2672;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2672";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (450509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";94,11;NA;8,56578;4,00221;0,26607;260,67596;6;22;NA;0,87314;10,90595;1,20551;0;4;3;24,26958;5,68299;NA;450509,67;5725647,67
"458";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5673";"GG";2673;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2673";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (460509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";86,09;NA;1,23989;2,29228;0,43972;330,55569;6;21;NA;0,92602;14,81;0,10848;NA;NA;NA;NA;NA;NA;460509,67;5725647,67
"459";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5674";"GG";2674;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2674";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (470509.6675 5725647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";NA;NA;-3,43939;0,03751;0,01144;313,23056;2;2;2;0,93109;14,49806;0,78716;2;1;2;3,81745;3,53812;NA;470509,67;5725647,67
"460";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5720";"GG";2720;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2720";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (380509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";85,11;NA;21,13946;0,30453;0,29243;357,15195;2;2;2;0,96639;18,32382;0,3684;NA;NA;NA;NA;NA;NA;380509,67;5715647,67
"461";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5721";"GG";2721;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2721";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (390509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";101,52;0,66899;-14,39072;4,03695;0,49786;27,01169;3;22;NA;0,90094;12,51339;1,15596;NA;NA;NA;NA;NA;NA;390509,67;5715647,67
"462";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5722";"GG";2722;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2722";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (400509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";94,42;NA;-2,77453;0,01766;0,00049;174,65286;2;2;2;0,96369;17,07161;0,41813;5;2;2;6,06384;4,86296;NA;400509,67;5715647,67
"463";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5723";"GG";2723;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2723";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (410509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";110,99;NA;0,11005;3,90896;3,0152;312,66824;6;22;NA;0,83368;9,10127;1,40306;NA;NA;NA;NA;NA;NA;410509,67;5715647,67
"464";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5724";"GG";2724;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2724";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";140,28;NA;0,98825;9,09564;4,81047;359,07697;6;22;NA;0,82195;9,56388;0,63482;4;0;1;0,86997;0,77454;NA;420509,67;5715647,67
"465";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5725";"GG";2725;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2725";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";117,91;NA;7,22714;3,99181;1,55722;117,68038;6;22;NA;0,89978;13,36542;0,23616;NA;NA;NA;NA;NA;NA;430509,67;5715647,67
"466";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5726";"GG";2726;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2726";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (440509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";120,51;NA;2,46518;3,12223;1,34904;281,44144;6;21;NA;NA;NA;0,27423;NA;NA;NA;NA;NA;NA;440509,67;5715647,67
"467";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5727";"GG";2727;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2727";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (450509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";81,51;31,47709;-0,53621;NA;NA;180,7766;5;2;2;0,75261;3,00835;32,18874;NA;NA;NA;NA;NA;NA;450509,67;5715647,67
"468";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5728";"GG";2728;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2728";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (460509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";131,17999;NA;0,84889;18,72708;12,39299;131,39066;1;23;NA;0,71869;5,22636;2,43627;NA;NA;NA;NA;NA;NA;460509,67;5715647,67
"469";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5729";"GG";2729;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2729";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (470509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";133,28999;NA;-2,28816;1,19177;1,04359;99,62162;6;20;1;0,92094;13,47276;1,35151;NA;NA;NA;NA;NA;NA;470509,67;5715647,67
"470";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5730";"GG";2730;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2730";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (480509.6675 5715647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";133,87;NA;-1,33592;27,70485;1,41502;161,3791;1;22;NA;0,73695;11,17944;0,8741;NA;NA;NA;NA;NA;NA;480509,67;5715647,67
"471";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5775";"GG";2775;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2775";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (380509.6675 5705647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";89,39;NA;1,21148;1,57815;1,2431;15,36107;2;2;2;0,93417;15,95809;0,59151;NA;NA;NA;NA;NA;NA;380509,67;5705647,67
"472";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5776";"GG";2776;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2776";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (390509.6675 5705647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";87,06;NA;-11,7271;0,20834;0,11769;333,29575;2;2;2;0,94607;18,5101;0,24012;5;0;1;0,67311;0,6573;NA;390509,67;5705647,67
"473";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5777";"GG";2777;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2777";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (400509.6675 5705647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";127,08;NA;22,24108;24,86345;5,01417;254,69617;1;23;NA;0,6812;6,28122;1,90151;0;1;1;1,96382;1,23973;NA;400509,67;5705647,67
"474";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5778";"GG";2778;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2778";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (410509.6675 5705647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";94,21;NA;5,41147;0,7884;0,74284;292,63239;2;2;2;0,94015;16,08496;0,22448;NA;NA;NA;NA;NA;NA;410509,67;5705647,67
"475";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5779";"GG";2779;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2779";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420509.6675 5705647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";127,22;NA;-7,89403;18,62057;3,72063;99,61823;1;22;NA;0,80837;11,26373;0,68906;NA;NA;NA;NA;NA;NA;420509,67;5705647,67
"476";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5780";"GG";2780;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2780";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430509.6675 5705647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";99,02;0,81516;-2,40658;0,23673;0,11897;20,16791;5;2;2;0,97173;18,46694;0,33802;NA;NA;NA;NA;NA;NA;430509,67;5705647,67
"477";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5832";"GG";2832;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2832";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (400509.6675 5695647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";108,07;NA;0,24815;9,55819;6,14708;2,09894;6;23;NA;0,79049;7,90879;3,20166;NA;NA;NA;NA;NA;NA;400509,67;5695647,67
"478";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5833";"GG";2833;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2833";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (410509.6675 5695647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";94,79;NA;-0,29303;0,33009;0,31647;315,76364;2;2;2;0,93737;15,42968;0,41782;2;1;1;1,88351;1,60365;NA;410509,67;5695647,67
"479";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5834";"GG";2834;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2834";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420509.6675 5695647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";108,59;NA;1,33645;0,88666;0,74141;220,48511;2;2;2;0,93275;16,3403;0,62985;4;1;1;1,26366;1,01055;NA;420509,67;5695647,67
"480";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5835";"GG";2835;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2835";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430509.6675 5695647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";137,87;NA;3,30496;NA;4,09724;174,47495;6;22;NA;0,84271;9,78148;0,64866;NA;NA;NA;NA;NA;NA;430509,67;5695647,67
"481";NA;"Havelland";"Stadt Rathenow";NA;NA;NA;NA;NA;NA;"32";"FBG";0;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Steckelsdorf 12";"ja";"Infos dankenswerterweise von Anja Sbrzesny, aus Wetzel/Beran 2023";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Deutschland";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"nein";"Point (316908 5829865)";"Fst_BB_Standortanalyse";"/media/sophie/Volume/R/Diss/analysis/data/geodata/Fst_BB_Standortanalyse.shp";29,65;NA;-11,57561;2,1503;1,42985;148,57761;6;21;NA;0,92492;16,25121;0,49287;NA;NA;NA;NA;NA;NA;316908;5829865
